id_text,lemma
P237713,karašu[leek]N purussû[decision]N šamû[sky]N diktu[(a-type-of-flour)]N zahannu[(a-garden-plant)]N edinu[desert]N ṣēru[back]N x[NA]NA x[NA]NA x[NA]NA
P237770,x-x[NA]NA x[NA]NA x[NA]NA adūgu[oven]N x[NA]NA tinūru[oven]N x[NA]NA ṣāhu[oven-(for-oil-processing)]N kannu[(vessel-)stand]N kannu[(vessel-)stand]N kannu[(vessel-)stand]N kannu[(vessel-)stand]N maqlû[burning]N qalû[oven-(for-roasting)]N laptu[roasted-barley]N kūru[kiln]N nappašu[air-hole]N kūru[kiln]N idrānu[potash]N haṣbu[pottery]N išhilṣu[(pot)sherd]N išhilṣu[(pot)sherd]N makdādu[(a-scraper)?]N zû[excrement]N pahāru[potter]N zû[excrement]N pahāru[potter]N zû[excrement]N pahāru[potter]N hahû[slag-clinker]N rāṭu[water-channel]N qalqallu[grill]N maqlû[burning]N qalû[oven-(for-roasting)]N kiškattû[(industrial)-kiln]N ṭīdu[clay]N ṭīdu[clay]N ṭīdu[clay]N ṭīdu[clay]N nappaltu[(building)-rubble]N nappaltu[(building)-rubble]N ṭīdu[clay]N nappaltu[(building)-rubble]N hutūlu[(an-object)]N ṭēru[mud]N ṭerītu[mud]N sāʾu[(a-tree)]N bīšu[bad-one]N daʾmu[dark-one]N daʾmu[dark-one]N kalû[yellow-mineral-paste]N wašṭu[stiff-one]N isikku[hard-one?]N dannu[strong-one]N kuššikku[a-clay]N kuššikku[a-clay]N im-na-x[NA]NA x-x[NA]NA x-x[NA]NA x[NA]NA x-tum[NA]NA x-u[NA]NA x-hi[NA]NA x-tum[NA]NA x-x[NA]NA
P238140,x[NA]NA x[NA]NA x[NA]NA alû[(a-kind-of-drum)]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA algarsurrû[drumstick?]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA tungallu[(a-stringed-instrument)]N x[NA]NA x[NA]NA x[NA]NA x-x[NA]NA x[NA]NA x[NA]NA mērītu[musical-instrument-from-Mari]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x-x-x-x[NA]NA nemsû[wash-basin]N elû[upper-one]N šaplû[lower-one]N bardû[crossbar]N bardû[crossbar]N aptu[window]N birru[grille]N zappu[tuft-of-hair]N muwarrītu[(a-weapon-or-tool)]N namaddu[measuring-vessel]N širmu[vessel]N širmu[vessel]N parsiktu[bushel-measure]N parsiktu[bushel-measure]N parsiktu[bushel-measure]N šūrubtu[bringing-in]N parsiktu[bushel-measure]N ṣītu[exit]N parsiktu[bushel-measure]N ṣehru[small]AJ maltaktu[test]N x[NA]NA maltaktu[test]N litiktu[test]N idu[arm]N litiktu[test]N māšu[twin]N sūtu[(a-capacity-measure)]N x[NA]NA šūrubtu[bringing-in]N x[NA]NA ṣītu[exit]N x[NA]NA ṣehru[small]AJ x[NA]NA šarru[king]N x[NA]NA šamnu[oil]N qû[(a-capacity-measure)]N zūzu[half-unit]N qû[(a-capacity-measure)]N x[NA]NA šuššu[one-sixth]NU
P238324,makkūru[property]N makkūru[property]N šarru[king]N mašrû[riches]N būšu[goods]N x-x-x[NA]NA ša[of]DET ramānu[self]N x[NA]NA ša[of]DET ramānu[self]N x-nu-u₂[NA]NA x[NA]NA awīlu[man]N narkabtu[chariot]N ereqqu[cart]N x-x[NA]NA šarūru[brilliance]N šarūru[brilliance]N berqu[lightning]N šarūru[brilliance]N ša[of]DET x[NA]NA birbirru[radiance]N abu[father]N zārû[scattering]N puršumu[old-(man)]N ittû[seed-funnel]N nardappu[(a-seeding-apparatus)]N ummu[mother]N bāmtu[ribcage]N agarinnu[womb]N šassūru[womb]N ilittu[birth]N bītu[house]N sumaktar[fatherless-one]N tarbû[alumnus]N lillidu[offspring]N pessû[lame-one]N kurû[short-one]N x-x[NA]NA x[NA]NA x[NA]NA x[NA]NA x-x[NA]NA nūru[light]N esēru[enclose]V ša[of]DET mû[water]N esēru[enclose]V ša[of]DET iṣṣūru[bird]N esēru[enclose]V ša[of]DET rigmu[voice]N maṣû[corresponding]AJ u[and]CNJ maṣû[corresponding]AJ maṣû[corresponding]AJ maṣû[corresponding]AJ simtu[appropriate-thing]N simtu[appropriate-thing]N šīmtu[fate]N pirištu[secret]N sanāqu[check]V sanāqu[check]V ša[of]DET ṣabātu[seize]V sanāqu[check]V ša[of]DET awīlu[man]N sanāqu[check]V ša[of]DET iškāru[work-assignment]N rapāšu[be(come)-broad]V wuṣṣû[spread-out]V rupšu[width]N x-x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA ša[that]REL ina[in]PRP šarru[king]N āliku[goer]N mahru[front]N mimma[anything]XP šipru[sending]N šuāti[him]IP lā[not]MOD ahāzu[take]V nēmequ[wisdom]N Nabu[1]DN tikpu[spot]N santakku[triangle]N mala[as-much-as]PRP bašmu[created]AJ x[NA]NA ṭuppu[(clay)-tablet]N šaṭāru[write-(down)]V sanāqu[check]V barû[see]V x[NA]NA tāmartu[view(ing)]N šasû[shout]V qerbu[centre]N ēkallu[palace]N kânu[be(come)-permanent]V
P238446,abu[father]N ummu[mother]N bēlu[lord]N bēltu[lady]N imrû[family]N kimtu[family]N nišūtu[relatives]N salātu[family]N itti[with]PRP ašru[place]N erṣetu[earth]N annu[(word-of)-consent]N šīmtu[fate]N pīhātu[responsibility]N rēšu[head]N wardu[slave]N wardu[slave]N rēšu[head]N amtu[maid]N aštapīru[slaves]N kinattūtu[colleagueship]N īnu[eye]N pānu[front]N mahru[front]N šību[elder]N leqû[take]V leqû[take]V leqû[take]V x[NA]NA x[NA]NA šina[two]NU ūmu[day]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA ešartu[group-of-ten]NU ūmu[day]N šapattu[15th-day-of-month]NU ibbû[day-of-wrath]N ešrû[20th-day]NU warhu[month]N x[NA]NA šalāšû[thirtieth-day-of-month]NU bibbulu[flood]N uhulgallu[unfavourable-day]N ūmu[day]N x[NA]NA ūmu[day]N kispu[funerary-offering]N ūmu[day]N x[NA]NA ūmu[day]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA
P238817,pagūmu[(harness-strap)?]N mašku[skin]N karru[knob]N mašku[skin]N šigaru[clamp]N mašku[skin]N šipku[heaping-up]N šimtu[mark]N šimtu[mark]N damqu[good]AJ šimtu[mark]N nawru[bright]AJ šimtu[mark]N hurāṣu[gold]N An[1]DN annaku[tin]N parzillu[iron]N ṣāriru[flashing-red]N anzahhu[(a-kind-of-glass)]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA
P239302,kaṣṣidakku[miller]N ṭeʾīnu[grinder]N nukaribbu[gardener]N saddanakku[administrator-of-date-orchards]N
P239552,x[NA]NA x-x-tum[NA]NA x[NA]NA qaqqadu[head]N x[NA]NA qaqqadu[head]N
P254706,x[NA]NA ana[to]PRP x[NA]NA ana[to]PRP x[NA]NA ṣibtu[interest]N x[NA]NA ṣibtu[interest]N x[NA]NA ṣibtu[interest]N x[NA]NA ṣibtu[interest]N x[NA]NA ṣibtu[interest]N x[NA]NA ṣibtu[interest]N x[NA]NA ṣibtu[interest]N x[NA]NA ṣibtu[interest]N x[NA]NA ša[that]REL x[NA]NA ṣibtu[interest]N x[NA]NA ṣibtu[interest]N x[NA]NA ṣibtu[interest]N x[NA]NA ṣibtu[interest]N x[NA]NA ṣibtu[interest]N x[NA]NA ṣibtu[interest]N x[NA]NA x[NA]NA x-x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA i-x[NA]NA i-x[NA]NA i-zu-x[NA]NA i-zu-x-x[NA]NA akālu[eat]V akālu[eat]V akālu[eat]V kaspu[silver]N x[NA]NA kaspu[silver]N x[NA]NA
P274783,PEŠ[NA]NA GAL[NA]NA {m}{d}PA-x[NA]NA PEŠ[NA]NA GAL[NA]NA {m}{d}PA-MAN-za-ni-x[NA]NA ŠAG₄.BAL.BAL[NA]NA {m}{d}PA-MU-PAP[NA]NA {lu₂}ZABAR.DAB.BA[NA]NA {d}MAŠ[NA]NA x[NA]NA x[NA]NA PA[NA]NA ŠAG₄[NA]NA ŠAG₄[NA]NA {iri}kal-hi[NA]NA
